ANO,MÊS,GRANDE REGIÃO,UNIDADE DA FEDERAÇÃO,PRODUTO,PRODUÇÃO
2012,JAN,REGIÃO NORDESTE,PARAIBA,ANIDRO,"22286,108"
2012,FEV,REGIÃO NORDESTE,PARAIBA,ANIDRO,"9632,793"
2012,MAR,REGIÃO NORDESTE,PARAIBA,ANIDRO,"5457,491"
2012,ABR,REGIÃO NORDESTE,PARAIBA,ANIDRO,"10,855"
2012,MAI,REGIÃO NORDESTE,PARAIBA,ANIDRO,"0,38"
2012,JUN,REGIÃO NORDESTE,PARAIBA,ANIDRO,"2,335"
2012,JUL,REGIÃO NORDESTE,PARAIBA,ANIDRO,"1,654"
2012,AGO,REGIÃO NORDESTE,PARAIBA,ANIDRO,"3008,673"
2012,SET,REGIÃO NORDESTE,PARAIBA,ANIDRO,"20523,1"
2012,OUT,REGIÃO NORDESTE,PARAIBA,ANIDRO,"27778,106"
2012,NOV,REGIÃO NORDESTE,PARAIBA,ANIDRO,"27773,832"
2012,DEZ,REGIÃO NORDESTE,PARAIBA,ANIDRO,"29900,792"
2012,JAN,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"22557,789"
2012,FEV,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"20914,825"
2012,MAR,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"12359,742"
2012,ABR,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"2,506"
2012,MAI,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"44,415"
2012,JUN,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"1616,207"
2012,JUL,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"35,483"
2012,AGO,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"9782,527"
2012,SET,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"20210,147"
2012,OUT,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"20677,831"
2012,NOV,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"21253,808"
2012,DEZ,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"18625,563"
2013,JAN,REGIÃO NORDESTE,PARAIBA,ANIDRO,"27491,671"
2013,FEV,REGIÃO NORDESTE,PARAIBA,ANIDRO,"12484,004"
2013,MAR,REGIÃO NORDESTE,PARAIBA,ANIDRO,"23217,285"
2013,ABR,REGIÃO NORDESTE,PARAIBA,ANIDRO,"1,515"
2013,MAI,REGIÃO NORDESTE,PARAIBA,ANIDRO,"8,007"
2013,JUN,REGIÃO NORDESTE,PARAIBA,ANIDRO,"10,526"
2013,JUL,REGIÃO NORDESTE,PARAIBA,ANIDRO,0
2013,AGO,REGIÃO NORDESTE,PARAIBA,ANIDRO,"6184,048"
2013,SET,REGIÃO NORDESTE,PARAIBA,ANIDRO,"19028,213"
2013,OUT,REGIÃO NORDESTE,PARAIBA,ANIDRO,"30834,046"
2013,NOV,REGIÃO NORDESTE,PARAIBA,ANIDRO,"32739,689"
2013,DEZ,REGIÃO NORDESTE,PARAIBA,ANIDRO,"33469,362"
2013,JAN,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"18144,097"
2013,FEV,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"13232,316"
2013,MAR,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"3673,893"
2013,ABR,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"2028,445"
2013,MAI,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"3,171"
2013,JUN,REGIÃO NORDESTE,PARAIBA,HIDRATADO,"9,191"
