ANO,GRANDE REGIÃO,UF,PRODUTO,CÓDIGO IBGE,MUNICÍPIO,VENDAS
1990,REGIÃO NORDESTE,PB,ETANOL,2500106,AGUA BRANCA,62550
1990,REGIÃO NORDESTE,PB,ETANOL,2500205,AGUIAR,35350
1990,REGIÃO NORDESTE,PB,ETANOL,2500304,ALAGOA GRANDE,306403
1990,REGIÃO NORDESTE,PB,ETANOL,2500403,ALAGOA NOVA,154200
1990,REGIÃO NORDESTE,PB,ETANOL,2500502,ALAGOINHA,136250
1990,REGIÃO NORDESTE,PB,ETANOL,2500601,ALHANDRA,423337
1990,REGIÃO NORDESTE,PB,ETANOL,2500700,SAO JOAO DO RIO DO PEI,334164
1990,REGIÃO NORDESTE,PB,ETANOL,2500809,ARACAGI,59750
1990,REGIÃO NORDESTE,PB,ETANOL,2500908,ARARA,74600
1990,REGIÃO NORDESTE,PB,ETANOL,2501005,ARARUNA,177449
1990,REGIÃO NORDESTE,PB,ETANOL,2501104,AREIA,330298
1990,REGIÃO NORDESTE,PB,ETANOL,2501203,AREIAL,47200
1990,REGIÃO NORDESTE,PB,ETANOL,2501302,AROEIRAS,266300
1990,REGIÃO NORDESTE,PB,ETANOL,2501401,BAIA DA TRAICAO,63206
1990,REGIÃO NORDESTE,PB,ETANOL,2501500,BANANEIRAS,182109
1990,REGIÃO NORDESTE,PB,ETANOL,2501609,BARRA DE SANTA ROSA,146621
1990,REGIÃO NORDESTE,PB,ETANOL,2501807,BAYEUX,2700982
1990,REGIÃO NORDESTE,PB,ETANOL,2501906,BELEM,331060
1990,REGIÃO NORDESTE,PB,ETANOL,2502003,BELEM DO BREJO DO CRUZ,35850
1990,REGIÃO NORDESTE,PB,ETANOL,2502102,BOA VENTURA,53200
1990,REGIÃO NORDESTE,PB,ETANOL,2502409,BONITO DE SANTA FE,82700
1990,REGIÃO NORDESTE,PB,ETANOL,2502508,BOQUEIRAO,236900
1990,REGIÃO NORDESTE,PB,ETANOL,2502805,BREJO DO CRUZ,122900
1990,REGIÃO NORDESTE,PB,ETANOL,2502904,BREJO DOS SANTOS,5000
1990,REGIÃO NORDESTE,PB,ETANOL,2503001,CAAPORA,311417
1990,REGIÃO NORDESTE,PB,ETANOL,2503100,CABACEIRAS,36800
1990,REGIÃO NORDESTE,PB,ETANOL,2503209,CABEDELO,4576422
1990,REGIÃO NORDESTE,PB,ETANOL,2503308,CACHOEIRA DOS INDIOS,93570
1990,REGIÃO NORDESTE,PB,ETANOL,2503506,CACIMBA DE DENTRO,70902
1990,REGIÃO NORDESTE,PB,ETANOL,2503605,CAICARA,19200
1990,REGIÃO NORDESTE,PB,ETANOL,2503704,CAJAZEIRAS,1293114
1990,REGIÃO NORDESTE,PB,ETANOL,2503803,CALDAS BRANDAO,360250
1990,REGIÃO NORDESTE,PB,ETANOL,2504009,CAMPINA GRANDE,18298325
1990,REGIÃO NORDESTE,PB,ETANOL,2504306,CATOLE DO ROCHA,573523
1990,REGIÃO NORDESTE,PB,ETANOL,2504405,CONCEICAO,117966
1990,REGIÃO NORDESTE,PB,ETANOL,2504504,CONDADO,98381
1990,REGIÃO NORDESTE,PB,ETANOL,2504603,CONDE,806399
1990,REGIÃO NORDESTE,PB,ETANOL,2504702,CONGO,83423
1990,REGIÃO NORDESTE,PB,ETANOL,2504801,COREMAS,146500
1990,REGIÃO NORDESTE,PB,ETANOL,2504900,CRUZ DO ESPIRITO SANTO,200450
1990,REGIÃO NORDESTE,PB,ETANOL,2505006,CUBATI,63055
1990,REGIÃO NORDESTE,PB,ETANOL,2505105,CUITE,216029
1990,REGIÃO NORDESTE,PB,ETANOL,2505204,CUITEGI,4000
1990,REGIÃO NORDESTE,PB,ETANOL,2505402,DESTERRO,55300
1990,REGIÃO NORDESTE,PB,ETANOL,2505501,VISTA SERRANA,233262
1990,REGIÃO NORDESTE,PB,ETANOL,2505808,DUAS ESTRADAS,76400
1990,REGIÃO NORDESTE,PB,ETANOL,2506004,ESPERANCA,397150
1990,REGIÃO NORDESTE,PB,ETANOL,2506103,FAGUNDES,10589
1990,REGIÃO NORDESTE,PB,ETANOL,2506301,GUARABIRA,1403662
1990,REGIÃO NORDESTE,PB,ETANOL,2506400,GURINHEM,203550
1990,REGIÃO NORDESTE,PB,ETANOL,2506608,IBIARA,38682
1990,REGIÃO NORDESTE,PB,ETANOL,2506806,INGA,422508
1990,REGIÃO NORDESTE,PB,ETANOL,2506905,ITABAIANA,515370
1990,REGIÃO NORDESTE,PB,ETANOL,2507002,ITAPORANGA,413872
1990,REGIÃO NORDESTE,PB,ETANOL,2507101,ITAPOROROCA,112298
1990,REGIÃO NORDESTE,PB,ETANOL,2507200,ITATUBA,66325
1990,REGIÃO NORDESTE,PB,ETANOL,2507309,JACARAU,51398
1990,REGIÃO NORDESTE,PB,ETANOL,2507408,JERICO,58300
1990,REGIÃO NORDESTE,PB,ETANOL,2507507,JOAO PESSOA,48232045
1990,REGIÃO NORDESTE,PB,ETANOL,2507606,JUAREZ TAVORA,83952
1990,REGIÃO NORDESTE,PB,ETANOL,2507705,JUAZEIRINHO,141950
1990,REGIÃO NORDESTE,PB,ETANOL,2507804,JUNCO DO SERIDO,79803
1990,REGIÃO NORDESTE,PB,ETANOL,2507903,JURIPIRANGA,78000
1990,REGIÃO NORDESTE,PB,ETANOL,2508208,LAGOA DE DENTRO,85338
1990,REGIÃO NORDESTE,PB,ETANOL,2508307,LAGOA SECA,370450
1990,REGIÃO NORDESTE,PB,ETANOL,2508604,LUCENA,105860
1990,REGIÃO NORDESTE,PB,ETANOL,2508802,MALTA,147550
1990,REGIÃO NORDESTE,PB,ETANOL,2508901,MAMANGUAPE,2163041
1990,REGIÃO NORDESTE,PB,ETANOL,2509107,MARI,219800
1990,REGIÃO NORDESTE,PB,ETANOL,2509305,MATARACA,101657
1990,REGIÃO NORDESTE,PB,ETANOL,2509404,MOGEIRO,37226
1990,REGIÃO NORDESTE,PB,ETANOL,2509701,MONTEIRO,326169
1990,REGIÃO NORDESTE,PB,ETANOL,2509909,NATUBA,67800
1990,REGIÃO NORDESTE,PB,ETANOL,2510105,NOVA FLORESTA,55700
1990,REGIÃO NORDESTE,PB,ETANOL,2510808,PATOS,3885480
1990,REGIÃO NORDESTE,PB,ETANOL,2510907,PAULISTA,66350
1990,REGIÃO NORDESTE,PB,ETANOL,2511103,PEDRA LAVRADA,103550
1990,REGIÃO NORDESTE,PB,ETANOL,2511202,PEDRAS DE FOGO,12100
1990,REGIÃO NORDESTE,PB,ETANOL,2511301,PIANCO,383547
1990,REGIÃO NORDESTE,PB,ETANOL,2511400,PICUI,257441
1990,REGIÃO NORDESTE,PB,ETANOL,2511509,PILAR,51260
1990,REGIÃO NORDESTE,PB,ETANOL,2511608,PILOES,55336
1990,REGIÃO NORDESTE,PB,ETANOL,2511806,PIRPIRITUBA,14000
1990,REGIÃO NORDESTE,PB,ETANOL,2511905,PITIMBU,69397
1990,REGIÃO NORDESTE,PB,ETANOL,2512002,POCINHOS,62550
1990,REGIÃO NORDESTE,PB,ETANOL,2512101,POMBAL,781916
1990,REGIÃO NORDESTE,PB,ETANOL,2512200,PRATA,122234
1990,REGIÃO NORDESTE,PB,ETANOL,2512309,PRINCESA ISABEL,205550
1990,REGIÃO NORDESTE,PB,ETANOL,2512507,QUEIMADAS,254674
1990,REGIÃO NORDESTE,PB,ETANOL,2512705,REMIGIO,191300
1990,REGIÃO NORDESTE,PB,ETANOL,2512903,RIO TINTO,159400
1990,REGIÃO NORDESTE,PB,ETANOL,2513109,SALGADO DE SAO FELIX,42208
1990,REGIÃO NORDESTE,PB,ETANOL,2513406,SANTA LUZIA,404850
1990,REGIÃO NORDESTE,PB,ETANOL,2513703,SANTA RITA,1713793
1990,REGIÃO NORDESTE,PB,ETANOL,2513901,SAO BENTO,355800
1990,REGIÃO NORDESTE,PB,ETANOL,2514008,SAO JOAO DO CARIRI,86300
1990,REGIÃO NORDESTE,PB,ETANOL,2514206,SAO JOSE DA LAGOA TAPA,35200
1990,REGIÃO NORDESTE,PB,ETANOL,2514503,SAO JOSE DE PIRANHAS,182461
1990,REGIÃO NORDESTE,PB,ETANOL,2514602,SAO JOSE DO BONFIM,641947
1990,REGIÃO NORDESTE,PB,ETANOL,2514909,SAO MAMEDE,144450
1990,REGIÃO NORDESTE,PB,ETANOL,2515104,SAO SEBASTIAO DE LAGOA,99650
1990,REGIÃO NORDESTE,PB,ETANOL,2515203,SAO SEBASTIAO DO UMBUZ,37650
1990,REGIÃO NORDESTE,PB,ETANOL,2515302,SAPE,1182043
1990,REGIÃO NORDESTE,PB,ETANOL,2515500,SERRA BRANCA,156113
1990,REGIÃO NORDESTE,PB,ETANOL,2516003,SOLANEA,688400
1990,REGIÃO NORDESTE,PB,ETANOL,2516102,SOLEDADE,491756
1990,REGIÃO NORDESTE,PB,ETANOL,2516201,SOUSA,1590384
