cod_local,local,cod_variavel,variavel,cod_periodo,periodo,valor
2500106,Água Branca - PB,109,Área plantada,2023,2023,-
2500106,Água Branca - PB,216,Área colhida,2023,2023,-
2500106,Água Branca - PB,214,Quantidade produzida,2023,2023,-
2500106,Água Branca - PB,112,Rendimento médio da produção,2023,2023,-
2500106,Água Branca - PB,215,Valor da produção,2023,2023,-
2500205,Aguiar - PB,109,Área plantada,2023,2023,5
2500205,Aguiar - PB,216,Área colhida,2023,2023,5
2500205,Aguiar - PB,214,Quantidade produzida,2023,2023,200
2500205,Aguiar - PB,112,Rendimento médio da produção,2023,2023,40000
2500205,Aguiar - PB,215,Valor da produção,2023,2023,32
2500304,Alagoa Grande - PB,109,Área plantada,2023,2023,1600
2500304,Alagoa Grande - PB,216,Área colhida,2023,2023,1600
2500304,Alagoa Grande - PB,214,Quantidade produzida,2023,2023,104000
2500304,Alagoa Grande - PB,112,Rendimento médio da produção,2023,2023,65000
2500304,Alagoa Grande - PB,215,Valor da produção,2023,2023,17680
2500403,Alagoa Nova - PB,109,Área plantada,2023,2023,600
2500403,Alagoa Nova - PB,216,Área colhida,2023,2023,600
2500403,Alagoa Nova - PB,214,Quantidade produzida,2023,2023,36000
2500403,Alagoa Nova - PB,112,Rendimento médio da produção,2023,2023,60000
2500403,Alagoa Nova - PB,215,Valor da produção,2023,2023,6300
2500502,Alagoinha - PB,109,Área plantada,2023,2023,350
2500502,Alagoinha - PB,216,Área colhida,2023,2023,350
2500502,Alagoinha - PB,214,Quantidade produzida,2023,2023,22750
2500502,Alagoinha - PB,112,Rendimento médio da produção,2023,2023,65000
2500502,Alagoinha - PB,215,Valor da produção,2023,2023,3640
2500536,Alcantil - PB,109,Área plantada,2023,2023,-
2500536,Alcantil - PB,216,Área colhida,2023,2023,-
2500536,Alcantil - PB,214,Quantidade produzida,2023,2023,-
2500536,Alcantil - PB,112,Rendimento médio da produção,2023,2023,-
2500536,Alcantil - PB,215,Valor da produção,2023,2023,-
2500577,Algodão de Jandaíra - PB,109,Área plantada,2023,2023,-
2500577,Algodão de Jandaíra - PB,216,Área colhida,2023,2023,-
2500577,Algodão de Jandaíra - PB,214,Quantidade produzida,2023,2023,-
2500577,Algodão de Jandaíra - PB,112,Rendimento médio da produção,2023,2023,-
2500577,Algodão de Jandaíra - PB,215,Valor da produção,2023,2023,-
2500601,Alhandra - PB,109,Área plantada,2023,2023,2500
2500601,Alhandra - PB,216,Área colhida,2023,2023,2500
2500601,Alhandra - PB,214,Quantidade produzida,2023,2023,162500
2500601,Alhandra - PB,112,Rendimento médio da produção,2023,2023,65000
2500601,Alhandra - PB,215,Valor da produção,2023,2023,26000
2500700,São João do Rio do Peixe - PB,109,Área plantada,2023,2023,-
2500700,São João do Rio do Peixe - PB,216,Área colhida,2023,2023,-
2500700,São João do Rio do Peixe - PB,214,Quantidade produzida,2023,2023,-
2500700,São João do Rio do Peixe - PB,112,Rendimento médio da produção,2023,2023,-
2500700,São João do Rio do Peixe - PB,215,Valor da produção,2023,2023,-
2500734,Amparo - PB,109,Área plantada,2023,2023,-
2500734,Amparo - PB,216,Área colhida,2023,2023,-
2500734,Amparo - PB,214,Quantidade produzida,2023,2023,-
2500734,Amparo - PB,112,Rendimento médio da produção,2023,2023,-
2500734,Amparo - PB,215,Valor da produção,2023,2023,-
2500775,Aparecida - PB,109,Área plantada,2023,2023,-
2500775,Aparecida - PB,216,Área colhida,2023,2023,-
2500775,Aparecida - PB,214,Quantidade produzida,2023,2023,-
2500775,Aparecida - PB,112,Rendimento médio da produção,2023,2023,-
2500775,Aparecida - PB,215,Valor da produção,2023,2023,-
2500809,Araçagi - PB,109,Área plantada,2023,2023,500
2500809,Araçagi - PB,216,Área colhida,2023,2023,500
2500809,Araçagi - PB,214,Quantidade produzida,2023,2023,32500
2500809,Araçagi - PB,112,Rendimento médio da produção,2023,2023,65000
2500809,Araçagi - PB,215,Valor da produção,2023,2023,5363
2500908,Arara - PB,109,Área plantada,2023,2023,-
2500908,Arara - PB,216,Área colhida,2023,2023,-
2500908,Arara - PB,214,Quantidade produzida,2023,2023,-
2500908,Arara - PB,112,Rendimento médio da produção,2023,2023,-
2500908,Arara - PB,215,Valor da produção,2023,2023,-
2501005,Araruna - PB,109,Área plantada,2023,2023,-
2501005,Araruna - PB,216,Área colhida,2023,2023,-
2501005,Araruna - PB,214,Quantidade produzida,2023,2023,-
2501005,Araruna - PB,112,Rendimento médio da produção,2023,2023,-
2501005,Araruna - PB,215,Valor da produção,2023,2023,-
2501104,Areia - PB,109,Área plantada,2023,2023,780
2501104,Areia - PB,216,Área colhida,2023,2023,780
2501104,Areia - PB,214,Quantidade produzida,2023,2023,50700
2501104,Areia - PB,112,Rendimento médio da produção,2023,2023,65000
