cod_local,local,cod_variavel,variavel,cod_periodo,periodo,valor
25,Paraíba,109,Área plantada,2003,2003,111716
25,Paraíba,109,Área plantada,2004,2004,116671
25,Paraíba,109,Área plantada,2005,2005,105403
25,Paraíba,109,Área plantada,2006,2006,116115
25,Paraíba,109,Área plantada,2007,2007,120004
25,Paraíba,109,Área plantada,2008,2008,122587
25,Paraíba,109,Área plantada,2009,2009,122888
25,Paraíba,109,Área plantada,2010,2010,123691
25,Paraíba,109,Área plantada,2011,2011,118097
25,Paraíba,109,Área plantada,2012,2012,125985
25,Paraíba,109,Área plantada,2013,2013,122070
25,Paraíba,109,Área plantada,2014,2014,119877
25,Paraíba,109,Área plantada,2015,2015,120559
25,Paraíba,109,Área plantada,2016,2016,122770
25,Paraíba,109,Área plantada,2017,2017,100235
25,Paraíba,109,Área plantada,2018,2018,101724
25,Paraíba,109,Área plantada,2019,2019,97751
25,Paraíba,109,Área plantada,2020,2020,100458
25,Paraíba,109,Área plantada,2021,2021,101363
25,Paraíba,109,Área plantada,2022,2022,102399
25,Paraíba,109,Área plantada,2023,2023,109237
25,Paraíba,216,Área colhida,2003,2003,111716
25,Paraíba,216,Área colhida,2004,2004,116671
25,Paraíba,216,Área colhida,2005,2005,105403
25,Paraíba,216,Área colhida,2006,2006,116115
25,Paraíba,216,Área colhida,2007,2007,120004
25,Paraíba,216,Área colhida,2008,2008,122587
25,Paraíba,216,Área colhida,2009,2009,122888
25,Paraíba,216,Área colhida,2010,2010,123691
25,Paraíba,216,Área colhida,2011,2011,118097
25,Paraíba,216,Área colhida,2012,2012,125985
25,Paraíba,216,Área colhida,2013,2013,122066
25,Paraíba,216,Área colhida,2014,2014,119877
25,Paraíba,216,Área colhida,2015,2015,120504
25,Paraíba,216,Área colhida,2016,2016,122738
25,Paraíba,216,Área colhida,2017,2017,100133
25,Paraíba,216,Área colhida,2018,2018,101724
25,Paraíba,216,Área colhida,2019,2019,97751
25,Paraíba,216,Área colhida,2020,2020,100458
25,Paraíba,216,Área colhida,2021,2021,101163
25,Paraíba,216,Área colhida,2022,2022,102399
25,Paraíba,216,Área colhida,2023,2023,109237
25,Paraíba,214,Quantidade produzida,2003,2003,6074074
25,Paraíba,214,Quantidade produzida,2004,2004,6364312
25,Paraíba,214,Quantidade produzida,2005,2005,4975797
25,Paraíba,214,Quantidade produzida,2006,2006,6059030
25,Paraíba,214,Quantidade produzida,2007,2007,6222223
25,Paraíba,214,Quantidade produzida,2008,2008,6297179
25,Paraíba,214,Quantidade produzida,2009,2009,6302570
25,Paraíba,214,Quantidade produzida,2010,2010,5646151
25,Paraíba,214,Quantidade produzida,2011,2011,6417385
25,Paraíba,214,Quantidade produzida,2012,2012,5865365
25,Paraíba,214,Quantidade produzida,2013,2013,6094359
25,Paraíba,214,Quantidade produzida,2014,2014,6761570
25,Paraíba,214,Quantidade produzida,2015,2015,6801981
25,Paraíba,214,Quantidade produzida,2016,2016,6908885
25,Paraíba,214,Quantidade produzida,2017,2017,5369180
25,Paraíba,214,Quantidade produzida,2018,2018,5447699
25,Paraíba,214,Quantidade produzida,2019,2019,5430290
25,Paraíba,214,Quantidade produzida,2020,2020,5673632
25,Paraíba,214,Quantidade produzida,2021,2021,5630113
25,Paraíba,214,Quantidade produzida,2022,2022,5762668
25,Paraíba,214,Quantidade produzida,2023,2023,7066802
25,Paraíba,112,Rendimento médio da produção,2003,2003,54370
25,Paraíba,112,Rendimento médio da produção,2004,2004,54549
25,Paraíba,112,Rendimento médio da produção,2005,2005,47207
25,Paraíba,112,Rendimento médio da produção,2006,2006,52181
25,Paraíba,112,Rendimento médio da produção,2007,2007,51850
25,Paraíba,112,Rendimento médio da produção,2008,2008,51369
25,Paraíba,112,Rendimento médio da produção,2009,2009,51287
25,Paraíba,112,Rendimento médio da produção,2010,2010,45647
25,Paraíba,112,Rendimento médio da produção,2011,2011,54340
25,Paraíba,112,Rendimento médio da produção,2012,2012,46556
25,Paraíba,112,Rendimento médio da produção,2013,2013,49927
25,Paraíba,112,Rendimento médio da produção,2014,2014,56404
25,Paraíba,112,Rendimento médio da produção,2015,2015,56446
25,Paraíba,112,Rendimento médio da produção,2016,2016,56290
25,Paraíba,112,Rendimento médio da produção,2017,2017,53620
25,Paraíba,112,Rendimento médio da produção,2018,2018,53554
25,Paraíba,112,Rendimento médio da produção,2019,2019,55552
25,Paraíba,112,Rendimento médio da produção,2020,2020,56478
25,Paraíba,112,Rendimento médio da produção,2021,2021,55654
25,Paraíba,112,Rendimento médio da produção,2022,2022,56277
25,Paraíba,112,Rendimento médio da produção,2023,2023,64692
25,Paraíba,215,Valor da produção,2003,2003,217336
25,Paraíba,215,Valor da produção,2004,2004,222675
25,Paraíba,215,Valor da produção,2005,2005,190146
25,Paraíba,215,Valor da produção,2006,2006,251169
25,Paraíba,215,Valor da produção,2007,2007,214087
25,Paraíba,215,Valor da produção,2008,2008,205019
25,Paraíba,215,Valor da produção,2009,2009,292162
25,Paraíba,215,Valor da produção,2010,2010,292685
25,Paraíba,215,Valor da produção,2011,2011,431832
25,Paraíba,215,Valor da produção,2012,2012,407070
25,Paraíba,215,Valor da produção,2013,2013,386120
25,Paraíba,215,Valor da produção,2014,2014,438460
25,Paraíba,215,Valor da produção,2015,2015,425356
25,Paraíba,215,Valor da produção,2016,2016,648949
25,Paraíba,215,Valor da produção,2017,2017,327499
25,Paraíba,215,Valor da produção,2018,2018,432491
25,Paraíba,215,Valor da produção,2019,2019,435935
25,Paraíba,215,Valor da produção,2020,2020,543712
25,Paraíba,215,Valor da produção,2021,2021,815947
25,Paraíba,215,Valor da produção,2022,2022,976479
25,Paraíba,215,Valor da produção,2023,2023,1143029
