cod_local,local,cod_variavel,variavel,cod_periodo,periodo,valor
11,Rondônia,109,Área plantada,2023,2023,632
11,Rondônia,216,Área colhida,2023,2023,618
11,Rondônia,214,Quantidade produzida,2023,2023,21173
11,Rondônia,112,Rendimento médio da produção,2023,2023,34261
11,Rondônia,215,Valor da produção,2023,2023,13259
12,Acre,109,Área plantada,2023,2023,465
12,Acre,216,Área colhida,2023,2023,436
12,Acre,214,Quantidade produzida,2023,2023,11457
12,Acre,112,Rendimento médio da produção,2023,2023,26278
12,Acre,215,Valor da produção,2023,2023,2558
13,Amazonas,109,Área plantada,2023,2023,4732
13,Amazonas,216,Área colhida,2023,2023,4729
13,Amazonas,214,Quantidade produzida,2023,2023,357257
13,Amazonas,112,Rendimento médio da produção,2023,2023,75546
13,Amazonas,215,Valor da produção,2023,2023,70306
14,Roraima,109,Área plantada,2023,2023,185
14,Roraima,216,Área colhida,2023,2023,185
14,Roraima,214,Quantidade produzida,2023,2023,3035
14,Roraima,112,Rendimento médio da produção,2023,2023,16405
14,Roraima,215,Valor da produção,2023,2023,2768
15,Pará,109,Área plantada,2023,2023,17476
15,Pará,216,Área colhida,2023,2023,17473
15,Pará,214,Quantidade produzida,2023,2023,1209026
15,Pará,112,Rendimento médio da produção,2023,2023,69194
15,Pará,215,Valor da produção,2023,2023,150024
16,Amapá,109,Área plantada,2023,2023,236
16,Amapá,216,Área colhida,2023,2023,223
16,Amapá,214,Quantidade produzida,2023,2023,5315
16,Amapá,112,Rendimento médio da produção,2023,2023,23834
16,Amapá,215,Valor da produção,2023,2023,2758
17,Tocantins,109,Área plantada,2023,2023,36645
17,Tocantins,216,Área colhida,2023,2023,36638
17,Tocantins,214,Quantidade produzida,2023,2023,3072997
17,Tocantins,112,Rendimento médio da produção,2023,2023,83875
17,Tocantins,215,Valor da produção,2023,2023,415996
21,Maranhão,109,Área plantada,2023,2023,45096
21,Maranhão,216,Área colhida,2023,2023,45096
21,Maranhão,214,Quantidade produzida,2023,2023,2741432
21,Maranhão,112,Rendimento médio da produção,2023,2023,60791
21,Maranhão,215,Valor da produção,2023,2023,488211
22,Piauí,109,Área plantada,2023,2023,17951
22,Piauí,216,Área colhida,2023,2023,17951
22,Piauí,214,Quantidade produzida,2023,2023,1183019
22,Piauí,112,Rendimento médio da produção,2023,2023,65903
22,Piauí,215,Valor da produção,2023,2023,218467
23,Ceará,109,Área plantada,2023,2023,8725
23,Ceará,216,Área colhida,2023,2023,8725
23,Ceará,214,Quantidade produzida,2023,2023,556369
23,Ceará,112,Rendimento médio da produção,2023,2023,63767
23,Ceará,215,Valor da produção,2023,2023,115913
